HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
CST_LIGNITE_10_2,CST_LIGNITE_10,-0.328226667,9.6141
CST_LIGNITE_10_3,CST_LIGNITE_10,-0.820597,10.2706
CST_LIGNITE_11_1,CST_LIGNITE_11,0,9
CST_LIGNITE_11_2,CST_LIGNITE_11,-0.16875,9.3375
CST_LIGNITE_11_3,CST_LIGNITE_11,-1.35,10.9125
CST_LIGNITE_12_1,CST_LIGNITE_12,0,9.5175
CST_LIGNITE_12_2,CST_LIGNITE_12,-0.34875,10.215
CST_LIGNITE_12_3,CST_LIGNITE_12,-0.871875,10.9125
CST_LIGNITE_13_1,CST_LIGNITE_13,0,6.443
CST_LIGNITE_13_2,CST_LIGNITE_13,-0.362424324,7.1678
CST_LIGNITE_13_3,CST_LIGNITE_13,-0.483252703,7.3289
CST_NAT_GAS_01_1,CST_NAT_GAS_01,0,6.9693
CST_NAT_GAS_01_2,CST_NAT_GAS_01,-0.255381746,7.4801
CST_NAT_GAS_01_3,CST_NAT_GAS_01,-0.638408889,7.9908
CST_NAT_GAS_02_1,CST_NAT_GAS_02,0,7.0244
CST_NAT_GAS_02_2,CST_NAT_GAS_02,-0.131705039,7.2878
CST_NAT_GAS_02_3,CST_NAT_GAS_02,-1.053678682,8.5171
GST_BLAST_GAS_01_1,GST_BLAST_GAS_01,0,8.0537
GST_FUELOIL_1_01_1,GST_FUELOIL_1_01,0,8
GST_FUELOIL_1_01_2,GST_FUELOIL_1_01,-0.45,8.9
GST_FUELOIL_1_01_3,GST_FUELOIL_1_01,-0.6,9.1
GST_FUELOIL_1_02_1,GST_FUELOIL_1_02,0,10.2857
GST_FUELOIL_1_03_1,GST_FUELOIL_1_03,0,7.4922
GST_FUELOIL_1_03_2,GST_FUELOIL_1_03,-0.1405024,7.7732
GST_FUELOIL_1_03_3,GST_FUELOIL_1_03,-1.1238392,9.0843
GST_FUELOIL_1_04_1,GST_FUELOIL_1_04,0,7.9086
GST_FUELOIL_1_04_2,GST_FUELOIL_1_04,-0.2898024,8.4882
GST_FUELOIL_1_04_3,GST_FUELOIL_1_04,-0.724506,9.0678
GST_FUELOIL_1_05_1,GST_FUELOIL_1_05,0,7.4669
GST_FUELOIL_1_05_2,GST_FUELOIL_1_05,-0.4200284,8.307
GST_FUELOIL_1_05_3,GST_FUELOIL_1_05,-0.5599848,8.4936
GST_FUELOIL_1_06_1,GST_FUELOIL_1_06,0,6.8571
GST_FUELOIL_1_06_2,GST_FUELOIL_1_06,-0.385725926,7.6286
GST_FUELOIL_1_06_3,GST_FUELOIL_1_06,-0.514281481,7.8
GST_GASOIL_01_1,GST_GASOIL_01,0,13.3333
GST_GASOIL_02_1,GST_GASOIL_02,0,11.28
GST_GASOIL_02_2,GST_GASOIL_02,-0.41335,12.1067
GST_GASOIL_02_3,GST_GASOIL_02,-1.033308549,12.9333
GST_GASOIL_03_1,GST_GASOIL_03,0,7.2
GST_GASOIL_03_2,GST_GASOIL_03,-0.135,7.47
GST_GASOIL_03_3,GST_GASOIL_03,-1.08,8.73
GST_NAT_GAS_01_1,GST_NAT_GAS_01,0,7.5498
GST_NAT_GAS_01_2,GST_NAT_GAS_01,-0.276636875,8.1031
GST_NAT_GAS_01_3,GST_NAT_GAS_01,-0.691605938,8.6564
GST_NAT_GAS_02_1,GST_NAT_GAS_02,0,8.7017
GST_NAT_GAS_02_2,GST_NAT_GAS_02,-0.318842926,9.3394
GST_NAT_GAS_02_3,GST_NAT_GAS_02,-0.797110772,9.9771
GST_NAT_GAS_03_1,GST_NAT_GAS_03,0,7.3096
GST_NAT_GAS_03_2,GST_NAT_GAS_03,-0.411177778,8.132
GST_NAT_GAS_03_3,GST_NAT_GAS_03,-0.548207843,8.3147
GST_NAT_GAS_04_1,GST_NAT_GAS_04,0,6.8571
