Line,Time,Flow,Limit
Aus_32.To.Aus_31,79,-224.82278490949955,1053.0
Aus_32.To.Aus_31,80,-220.60142390837692,1053.0
Aus_32.To.Aus_31,81,-216.3800629072543,1053.0
Aus_32.To.Aus_31,82,-215.2240823110307,1053.0
Aus_32.To.Aus_31,83,-214.0681017148071,1053.0
Aus_32.To.Aus_31,84,-212.9121211185832,1053.0
Aus_32.To.Aus_31,85,-211.7561405223596,1053.0
Aus_32.To.Aus_31,86,-207.24926043545577,1053.0
Aus_32.To.Aus_31,87,-202.74238034855222,1053.0
Aus_32.To.Aus_31,88,-198.23550026164807,1053.0
Aus_32.To.Aus_31,89,-193.7286201747445,1053.0
Aus_32.To.Aus_31,90,-190.7973510892075,1053.0
Aus_32.To.Aus_31,91,-187.8660820036705,1053.0
Aus_32.To.Aus_31,92,-184.9348129181338,1053.0
Aus_32.To.Aus_31,93,-182.00354383259676,1053.0
Aus_32.To.Aus_31,94,-179.62184202291027,1053.0
Aus_32.To.Aus_31,95,-177.24014021322353,1053.0
Aus_32.To.Aus_31,96,-174.85843840353672,1053.0
Aus_36.To.Aus_8,1,-253.0168495075311,1053.0
Aus_36.To.Aus_8,2,-244.16542289219976,1053.0
Aus_36.To.Aus_8,3,-240.57327535440595,1053.0
Aus_36.To.Aus_8,4,-248.9564777613329,1053.0
Aus_36.To.Aus_8,5,-245.44836459443835,1053.0
Aus_36.To.Aus_8,6,-252.52008465154393,1053.0
Aus_36.To.Aus_8,7,-253.70881675670057,1053.0
Aus_36.To.Aus_8,8,-258.445614713619,1053.0
Aus_36.To.Aus_8,9,-235.36462075126508,1053.0
Aus_36.To.Aus_8,10,-234.98545703395877,1053.0
Aus_36.To.Aus_8,11,-236.86199392085152,1053.0
Aus_36.To.Aus_8,12,-227.8577097853125,1053.0
Aus_36.To.Aus_8,13,-206.47522438826977,1053.0
Aus_36.To.Aus_8,14,-198.3774815424632,1053.0
Aus_36.To.Aus_8,15,-181.4078553200653,1053.0
