zone,bus,fuel,generator,time,value
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,93,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,94,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,95,0.0
Belgium,Bel_5,Natural Gas,Amercoeur CCGT Power Plant Belgium,96,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,1,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,2,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,3,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,4,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,5,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,6,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,7,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,8,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,9,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,10,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,11,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,12,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,13,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,14,0.0
Belgium,Bel_5,Natural Gas,Marcinelle Energie (Carsid) CCGT Power Plant Belgium,15,0.0
