"Load","BusLoad","DynamicProfileLoad","ReferenceValueLoad","LoadValuation"
"Load_F-294","F-294","LAN_LOAD",261.02,3000
"Load_F-293","F-293","PACA_LOAD",494.27,3000
"Load_F-36","F-36","PCD_LOAD",204.52,3000
"Load_F-292","F-292","MPY_LOAD",277.65,3000
"Load_F-291","F-291","PACA_LOAD",494.27,3000
"Load_F-35","F-35","PCD_LOAD",204.52,3000
"Load_F-290","F-290","LAN_LOAD",261.02,3000
"Load_F-289","F-289","AQUI_LOAD",340.83,3000
"Load_F-288","F-288","PACA_LOAD",494.27,3000
"Load_F-287","F-287","PACA_LOAD",494.27,3000
"Load_F-33","F-33","PCD_LOAD",204.52,3000
"Load_F-285","F-285","LAN_LOAD",261.02,3000
"Load_F_canteg","F_canteg","AQUI_LOAD",773.96,3000
"Load_F-31","F-31","PCD_LOAD",204.52,3000
"Load_F-30","F-30","HNOR_LOAD",265.39,3000
"Load_F-280","F-280","PACA_LOAD",494.27,3000
"Load_F-29","F-29","HNOR_LOAD",265.39,3000
"Load_F-278","F-278","LAN_LOAD",261.02,3000
"Load_F-276","F-276","PACA_LOAD",494.27,3000
"Load_F-27","F-27","CHAR_LOAD",160.09,3000
"Load_F-274","F-274","PACA_LOAD",494.27,3000
"Load_F-273","F-273","AQUI_LOAD",340.83,3000
"Load_F-26","F-26","HNOR_LOAD",265.39,3000
"Load_F-272","F-272","LAN_LOAD",261.02,3000
"Load_F-271","F-271","PACA_LOAD",494.27,3000
"Load_F_Moulai","F_Moulai","LOR_LOAD",266.71,3000
"Load_F-270","F-270","PACA_LOAD",494.27,3000
"Load_F-24","F-24","LOR_LOAD",266.71,3000
"Load_F-268","F-268","MPY_LOAD",277.65,3000
"Load_F-23","F-23","PCD_LOAD",204.52,3000
"Load_F-266","F-266","AQUI_LOAD",340.83,3000
"Load_F-265","F-265","AQUI_LOAD",340.83,3000
"Load_F-22","F-22","HNOR_LOAD",265.39,3000
"Load_F-264","F-264","RAL_LOAD",357.48,3000
"Load_F-263","F-263","AQUI_LOAD",353.89,3000
"Load_F-21","F-21","PCD_LOAD",204.52,3000
"Load_F-262","F-262","AQUI_LOAD",353.89,3000
"Load_F-261","F-261","MPY_LOAD",277.65,3000
"Load_F-20","F-20","PCD_LOAD",204.52,3000
"Load_F-260","F-260","MPY_LOAD",277.65,3000
"Load_F-259","F-259","RAL_LOAD",357.48,3000
"Load_F-257","F-257","RAL_LOAD",357.48,3000
"Load_F-18","F-18","CHAR_LOAD",160.09,3000
"Load_F-254","F-254","LAN_LOAD",184.67,3000
"Load_F-253","F-253","AQUI_LOAD",340.83,3000
"Load_F-16","F-16","PCD_LOAD",204.52,3000
"Load_F-252","F-252","MPY_LOAD",278.04,3000
"Load_F-251","F-251","RAL_LOAD",357.48,3000
"Load_F-14","F-14","PCD_LOAD",241.21,3000
"Load_F-248","F-248","AUV_LOAD",156.31,3000
"Load_F-13","F-13","PCD_LOAD",204.52,3000
"Load_F-246","F-246","AUV_LOAD",245.88,3000
"Load_F-245","F-245","AQUI_LOAD",340.83,3000
"Load_F-244","F-244","AUV_LOAD",156.31,3000
"Load_F-11","F-11","NPC_LOAD",896.72,3000
"Load_F-242","F-242","PCH_LOAD",612.7,3000
"Load_F-241","F-241","RAL_LOAD",357.48,3000
"Load_F-240","F-240","AQUI_LOAD",340.83,3000
"Load_F-239","F-239","AUV_LOAD",156.31,3000
"Load_F-9","F-9","NPC_LOAD",896.72,3000
"Load_F-237","F-237","LIM_LOAD",212.24,3000
"Load_F-151","F-151","CEN_LOAD",587.27,3000
"Load_F-236","F-236","RAL_LOAD",357.48,3000
"Load_F-235","F-235","AUV_LOAD",156.31,3000
"Load_F-7","F-7","NPC_LOAD",896.72,3000
"Load_F-6Aveli","F-6Aveli","NPC_LOAD",793.67,3000
"Load_F-231","F-231","RAL_LOAD",357.48,3000
"Load_F-5","F-5","NPC_LOAD",896.72,3000
"Load_F-230","F-230","RAL_LOAD",357.48,3000
"Load_F-229","F-229","RAL_LOAD",357.48,3000
"Load_F-4","F-4","NPC_LOAD",896.72,3000
"Load_F-227","F-227","LIM_LOAD",212.24,3000
"Load_F-3","F-3","NPC_LOAD",896.72,3000
"Load_F-225","F-225","RAL_LOAD",357.48,3000
"Load_F-224","F-224","PCH_LOAD",612.7,3000
"Load_F-223","F-223","RAL_LOAD",357.48,3000
"Load_F-221/22","F-221/22","PCH_LOAD",612.7,3000
"Load_F-220","F-220","AUV_LOAD",156.31,3000
"Load_F-219","F-219","RAL_LOAD",357.48,3000
"Load_F-218","F-218","RAL_LOAD",357.48,3000
"Load_F-217","F-217","RAL_LOAD",357.48,3000
"Load_F-216","F-216","RAL_LOAD",357.48,3000
"Load_F-214","F-214","LIM_LOAD",90.09,3000
"Load_F-213","F-213","AUV_LOAD",156.31,3000
"Load_F-211","F-211","RAL_LOAD",357.48,3000
"Load_F-209","F-209","LIM_LOAD",90.09,3000
"Load_F-208","F-208","LIM_LOAD",90.09,3000
"Load_F-207","F-207","PCH_LOAD",612.7,3000
"Load_F-206","F-206","RAL_LOAD",357.48,3000
"Load_F-205","F-205","LIM_LOAD",90.09,3000
"Load_F-204","F-204","RAL_LOAD",357.48,3000
"Load_F-203","F-203","LIM_LOAD",90.09,3000
"Load_F-202","F-202","RAL_LOAD",357.48,3000
