Bus,ZoneBus,Xcoord,Ycoord,Country
F-245,FR,115.7799988,260.3250046,F
F-12choo,FR,302,598.5,F
F-244,FR,265.6499939,261.1725082,F
F-243,FR,366.8800049,261.5999908,F
F-11,FR,200.7200012,599.0175018,F
F-242,FR,63.84000015,264.9074936,F
F-241,FR,390.2799988,265.0875092,F
F-10,FR,259.1099854,604.9124908,F
F-240,FR,32.15000153,266.7900009,F
F-239,FR,230.8000031,267.6224899,F
F-9,FR,209.7599945,609.9375,F
F-238,FR,45.43000031,269.9924927,F
F-237,FR,149.8500061,271.769989,F
F-8,FR,232.5399933,610.7025147,F
F-151,FR,115.0999985,412.9049835,F
F-236,FR,370,272.6399918,F
F-235,FR,291.7099915,273.5625,F
F-7,FR,156.1699982,619.980011,F
F-234,FR,187.199997,274.6799927,F
F-233,FR,389.3099976,275.2199936,F
F-6Aveli,FR,219.3200073,622.8224945,F
F-232,FR,425.5400085,280.0800018,F
F-231,FR,326.6499939,281.8875046,F
F-5,FR,193.1600037,628.769989,F
F-230,FR,381.019989,282.082489,F
F-229,FR,303.4500122,285.2024918,F
F-4,FR,201.3200073,632.3925018,F
F-228,FR,404.8200073,285375,F
F-227,FR,195.1600037,285.5475082,F
F-3,FR,154.4299927,647.4900055,F
F-226,FR,319.0299988,285.6299973,F
F-225,FR,362.0700073,287.0925064,F
F-2,FR,174.8800049,648.8025055,F
F-224,FR,44.88999939,295.9950028,F
F-223,FR,387.2900085,296.9625092,F
F-1,FR,187.9700012,656.2874908,F
F-221/22,FR,82.13999939,298.1849899,F
F-220,FR,240.3500061,298.6349945,F
F-219,FR,410.3599854,299.4900055,F
F-218,FR,414.5599976,300.9150009,F
F-217,FR,432,302.4974899,F
F-216,FR,363.4400024,303.082489,F
F-215,FR,331.2799988,304.8600082,F
F-214,FR,173.5500031,305.8499908,F
F-213,FR,227.0099945,308.9699936,F
F-212,FR,425.0700073,310.4024963,F
F-211,FR,404.2200012,312.2625046,F
F-210,FR,347.2600098,315.0899963,F
F-209,FR,122.5999985,316.3875046,F
F-208,FR,191.6799927,316.4850082,F
F-207,FR,30.54999924,318.7575073,F
F-206,FR,346.7999878,319.8449936,F
F-205,FR,146.5299988,320.332489,F
F-204,FR,315.8500061,326.0400009,F
F-203,FR,176.0500031,326.4225082,F
F-202,FR,386.4599915,326.5875092,F
F-201,FR,163.0200043,326.6924973,F
F-200,FR,278.4500122,326.7824936,F
F-199,FR,287.4500122,327.105011,F
F-198,FR,420.4500122,328.9950028,F
F-197,FR,17.79999924,332.0625,F
F-196,FR,47.40000153,333.75,F
F-195,FR,370.8299866,335.7225037,F
F-194,FR,409.5700073,340.9950028,F
F-193,FR,241.1399994,341.7599945,F
F_Cornie,FR,397,342,F
F-190/19,FR,53.08000183,343.1474991,F
F-189,FR,350.7000122,345.1574936,F
F-188,FR,218.5599976,345.3974991,F
F-187,FR,316.7799988,345.5700073,F
F-186,FR,206.4299927,345.7199936,F
F-185,FR,114.7099991,346.4325028,F
F_BoisTo,FR,377.3299866,347.6550064,F
F-183,FR,161.6900024,351.9900055,F
F-182,FR,404.3500061,355.957489,F
F-181,FR,360.5299988,357.1725082,F
F-180,FR,98.12999725,360.5925064,F
F-179,FR,245.8600006,361.0949936,F
F-178,FR,0.01,362.2949982,F
F-177,FR,283.4700012,365.2874908,F
F-176,FR,315.4200134,367.042511,F
F-175,FR,70.05999756,371.4375,F
F-174,FR,302.5100098,372.3375092,F
F-173,FR,166.25,373.3499908,F
F-172,FR,7.0999999,374.0849991,F
F-171,FR,357.9299927,376.6275101,F
F-152,FR,256.730011,412.3125,F
F-170,FR,107.7200012,377.1825028,F
F-169,FR,326.0299988,377.9699936,F
F-168,FR,374.8299866,383.8650055,F
F-167,FR,302.2600098,385.9649963,F
F-166,FR,244.2100067,387.7874908,F
F-165,FR,196.1600037,392.4900055,F
F-164,FR,27.97999954,392.789978,F
F-163,FR,392,395.25,F
F-162,FR,10.78999996,394.042511,F
F-161,FR,159.8000031,397.6274872,F
F-88,FR,-42.93999863,491.0775147,F
F-124,FR,297.2600098,450.164978,F
F-150,FR,324.7600098,413.3399963,F
F-149,FR,307.230011,416.0700073,F
F-125,FR,258.230011,450.1349945,F
F-127,FR,271.519989,448.8674927,F
F-148,FR,376.5499878,417.4875183,F
F_Sieren,FR,440,447,F
F-147,FR,-31.56999969,417.8925018,F
F-145,FR,326.5700073,421.417511,F
F-128,FR,89.08000183,447.3674927,F
F-143,FR,268.4100037,424.7249908,F
F-144,FR,111.0199966,423.7949982,F
F-133,FR,203.8399963,440.5500183,F
F-135,FR,411.25,436.0500183,F
F-136,FR,1.91999996,434.0024872,F
F-138,FR,-59.06999969,432.6300201,F
F-142,FR,221.1900024,425.0099945,F
F-137,FR,159.699997,433.3800201,F
F-132,FR,170.2700043,442.3874817,F
F-131,FR,380.7900085,443.9100037,F
F-130,FR,-90.38999939,444.9375,F
F-146,FR,49.88999939,421.3874817,F
F-126,FR,-117.6399994,449.4450073,F
F_Mambel,FR,404,426.75,F
F-160,FR,-9.01000023,397.8599854,F
F-123,FR,-42.29000092,450.3224945,F
F-122,FR,112.0899963,451.289978,F
F-121,FR,427.730011,456,F
F-120,FR,212.5700073,457.522522,F
F-119,FR,339.3999939,457.769989,F
F-82,FR,145.449997,497.2125092,F
F-115,FR,-127.4400024,460.2449799,F
F-114,FR,196.8699951,460.5150147,F
F-113,FR,-3.75999999,460.852478,F
F-134,FR,276.0700073,437.0325165,F
F-139,FR,142.6699982,431.4975128,F
F_113,FR,444,463.5,F
F-111,FR,242.0899963,465.7050018,F
F-110,FR,314.4599915,467.1600037,F
F-108,FR,402.480011,470.9024963,F
F-107,FR,432.5100098,472.7249908,F
F-106,FR,96.73000336,474.0899963,F
F-105,FR,209.1600037,474.7949982,F
F-104,FR,365.980011,475.3499908,F
F-103,FR,81.01999664,475.4700165,F
F-154/15,FR,-20.38999939,409.1999817,F
F-93,FR,381.980011,486375,F
F-86,FR,411.0400085,492.0749817,F
F-95,FR,-116.4800034,483.1950073,F
F-92,FR,-128.9400024,489.8100128,F
F-91,FR,-146.8699951,489.8100128,F
F-90,FR,14.43000031,490.0800018,F
F-89,FR,247.9900055,490.8900147,F
F-159,FR,67.56999969,402.1575165,F
F-153,FR,-37.86999893,411.397522,F
F-87,FR,262.9299927,491.4674835,F
F-78,FR,171.8300018,502.9275055,F
F-85,FR,-28.05545673,494.9474945,F
F-84,FR,-115.3000031,495.7799835,F
F-158,FR,350.25,405.5924835,F
F-83,FR,371.2200012,496.207489,F
F-157,FR,85.02999878,406.7400055,F
F-140,FR,125.0899963,428.8574982,F
F-80,FR,50.06999969,501.5024872,F
F-81,FR,184.4900055,497.2949982,F
F-79,FR,106.6100006,502.3574982,F
F-76,FR,157.5099945,503.5500183,F
F-77,FR,171.7100067,502.9725037,F
F-97,FR,418.7999878,480.1875,F
F-75,FR,293.9100037,506.0024872,F
F-96,FR,276.3200073,482.7750092,F
F-74,FR,205.3300018,506.0250092,F
F-73,FR,-91.77999878,506.7524872,F
F-98,FR,217.3800049,480.1199799,F
F-72,FR,379,507.75,F
F-101,FR,388.4299927,477.8925018,F
F-71,FR,439.5599976,508.3275147,F
F-100,FR,444.9100037,479.4674835,F
F-70,FR,227.6300049,508.9499817,F
F-69,FR,289.4200134,511.9199982,F
F-102,FR,266.1900024,477.1724854,F
F-68,FR,315,514.102478,F
F-67,FR,160.9600067,514.7400055,F
F-66,FR,417.4200134,516.7349854,F
F-65,FR,175.7799988,517.0350037,F
F-64,FR,229.9199982,518.1225128,F
F-109,FR,153.3999939,467.1600037,F
F-63,FR,370.0499878,518.8125,F
F-62,FR,126.25,520.0724945,F
F-61,FR,117.3399963,520.8375092,F
F-60,FR,152.2700043,521.0549927,F
F-59,FR,176.1399994,522.9299927,F
F-58,FR,452.8900147,523.1850128,F
F-57,FR,193.5800018,524.0175018,F
F-116,FR,98.98999786,459.7874908,F
F-56,FR,240.8500061,524.3475037,F
F-117,FR,34.59000015,458.730011,F
F-55,FR,281.0700073,524.7149963,F
F-118,FR,172.5800018,458.6925201,F
F-54,FR,64.97000122,525.5024872,F
F-53,FR,142.3200073,527.1150055,F
F-99,FR,150.9900055,479.8275147,F
F-52,FR,258.8399963,527.5124817,F
F-322,FR,169.3200073,100.0125046,F
F_Baixas,FR,223.8099976,104.9249954,F
F-51,FR,19.21999931,530.4075165,F
F_pragne,FR,64.19999695,110.3399963,F
F-319,FR,155.199997,113.3925018,F
F-50,FR,88,536.25,F
F-318,FR,49.52000046,117.9750023,F
F-317,FR,103.4000015,130.4024963,F
F-49,FR,183.6399994,537.772522,F
F-94,FR,-65.16999817,484.8375092,F
F-316,FR,159.8600006,131.25,F
F-315,FR,76.87000275,131.3399963,F
F-48,FR,413.4400024,538.3574982,F
F-314,FR,234.5,139.9350014,F
F-313,FR,202.3699951,140.7000046,F
F-46/47,FR,277.9100037,539.3025055,F
F-312,FR,217.0599976,142.7999954,F
F-311,FR,41.06999969,145.2749977,F
F-45,FR,120.6500015,539.9849854,F
F-310,FR,398.75,145.8300018,F
F-309,FR,178.1799927,146.2949982,F
F-44,FR,167.8300018,540.1799927,F
F-308,FR,246.2200012,151.5600014,F
F-307,FR,142.4400024,154.2524986,F
F-43,FR,264.3500061,541.1624908,F
F-306,FR,401.6799927,154.3050041,F
F-305,FR,352.0799866,155.0249977,F
F-42,FR,114.9700012,541.605011,F
F_Mougue,FR,-3.1400001,157.3799973,F
F-303,FR,363.9100037,157.717495,F
F-41,FR,396.8999939,541.7400055,F
F-302,FR,108.9000015,158.0099945,F
F-301,FR,197.6399994,159.0074959,F
F-40,FR,202.8000031,541.9275055,F
Lx-3,DE/LX,366,564.75,Lx
Lx-2,DE/LX,369.6600037,575.707489,Lx
Lx-1,DE/LX,366.7799988,586.3499908,Lx
NL-new1,NL,272.4627131,687.2767711,NL
NL_Borss,NL,262,702.75,NL
NL-22,NL,346,658.5,NL
NL_Maasb,NL,339,673.5,NL
NL-20,NL,330.8299866,687.6225128,NL
NL-19,NL,338.8900147,700.5299835,NL
NL_Geert,NL,295,704.25,NL
NL-17,NL,286.8900147,715.1400147,NL
NL-16,NL,334.1199951,716.730011,NL
NL-15,NL,265.7600098,720.6300201,NL
NL-14,NL,359.8999939,729375,NL
NL-13,NL,302.4200134,742.289978,NL
NL_Henge,NL,379.1199951,744.105011,NL
NL-11,NL,286.8030213,749.542511,NL
NL-10,NL,347.1897599,762.6074982,NL
NL-9,NL,359.1464882,763.7498003,NL
NL-8,NL,331.7799988,764.9250183,NL
NL-7,NL,337.7000122,786.4499817,NL
NL-6,NL,365.3999939,791.5799561,NL
NL_Meede,NL,386.1099854,798.8999634,NL
NL-4,NL,338.3806052,802.4250183,NL
NL-3,NL,363.3699951,806.3249817,NL
NL-2,NL,389.1700134,810.1350403,NL
NL-1,NL,376.6156384,817.3874817,NL
